,0
508,314.18613286155454
509,343.5355488905469
510,361.6798947492523
511,363.4252961106299
512,349.76012007316916
513,354.93321179122773
514,391.33010351901066
515,371.0279418739613
516,375.30169729898483
517,338.23302058800795
518,359.6123008284761
519,353.0200831344259
520,333.2877793977418
521,347.45129235946365
522,328.0983687958865
523,299.10804578567837
524,331.2581993367344
525,333.45408742091445
526,357.57278026849286
527,355.9315372040443
528,347.2980127059543
529,313.83352237126746
530,322.3203998624961
531,333.9232156804767
532,352.31190696652783
533,340.89777559277366
534,338.85307089419973
535,298.64152679501393
536,279.1755107608408
537,282.50401749969956
538,266.8365819068423
539,260.77492406553216
540,254.80880832706293
541,260.8786303740943
542,250.6095857253104
543,253.6623110382593
544,271.5281024092077
545,267.5872175725076
546,255.1035794201598
547,251.64762287767397
548,260.65869062130815
549,245.0395406942738
550,309.2719571442509
551,536.4042931995807
552,304.0901421374239
553,66.00244211556523
554,172.41353585356734
555,414.17849321422824
556,299.44202124044375
557,29.30662311642471
558,92.04818384505863
559,299.20298029843576
560,340.2867245184573
561,97.1774722388926
562,122.94776808431065
563,280.9882605777199
564,333.97378941730807
565,96.04915692486159
566,63.21303824719265
567,185.2902273806912
568,283.0647939757262
569,114.39106556233293
570,63.003863949763236
571,131.97755910985072
572,263.3815738301171
573,120.33012475054075
574,35.25603859730558
575,52.261829514501876
576,146.5650688339699
577,102.54937476416134
578,16.207583175226148
579,48.76883943455378
580,118.81743507027883
581,101.47449179592711
582,14.310768555454713
583,18.422219184996578
584,60.684150675593216
585,85.03906902022733
586,19.426127746026786
587,-1.290060458449294
588,26.95192494797118
589,45.21239279785488
590,2.6643562165985877
591,-15.536869373210028
592,0.1878393658662496
593,25.510251205309853
594,-5.847645166114109
595,-44.644475362724286
596,-34.72181076452019
597,7.1217366851499975
598,3.3373406590122805
599,-28.842184449415555
600,-31.19443365251786
601,-39.66276782790838
602,-4.145978295639786
603,3.2434464035117436
604,-25.75060677674127
605,-60.44229420636609
606,-34.849570702322026
607,-5.624632374690098
608,-36.26066259145982
609,-86.05987005122664
610,-50.515508062944846
611,-11.501071321390292
612,-58.91148146593737
613,-96.71305965716877
614,-76.62854603228763
615,-9.276305375080089
616,-11.449094237167525
617,-80.30528467860337
618,-105.73983266005428
619,-36.731716893487494
620,-46.06095952892558
621,-94.52154491154377
622,-139.80700809172944
623,-64.18054705855849
624,-33.88621204912299
625,-94.56165030210212
626,-145.00195603328757
627,-72.37302097510714
628,-55.40717691162231
629,-85.66530921499702
630,-182.61553417581715
631,-146.97423394205467
632,-99.38040676419173
633,-130.51791530441866
634,-177.49982277197574
635,-153.61830568771813
636,-97.42117000318675
637,-82.40882987133975
638,-164.3475488628169
639,-204.47594643097366
640,-123.51085756564623
641,-127.64809832246921
642,-193.91748777841497
643,-204.9324504794707
644,-129.96947909545418
645,-118.99996537871532
646,-145.40135553030498
647,-200.3649340361923
648,-134.51657888298968
649,-99.87672661193692
650,-148.00218218206982
651,-240.27629897429117
652,-199.64350044706617
653,-138.7819936744109
654,-156.05396950920036
655,-193.76971796886428
656,-150.29345270146692
657,-127.0368027489248
658,-170.11857555283765
659,-219.55867905161125
660,-199.68649544088223
661,-146.91672733217112
662,-151.92462803824841
663,-169.7135141331166
664,-172.21054833176626
665,-97.87100985233063
666,-99.95732074067071
667,-135.29472579535704
668,-168.28088173028303
669,-98.02881089866258
670,-68.28791101757672
671,-99.56612124944549
672,-149.96149692892604
673,-96.68463929840334
674,-72.82599696362743
675,-90.74487382420196
676,-139.0652817314395
677,-85.85674712489563
678,-57.81778938749865
679,-76.68839036356353
680,-121.04679184600843
681,-101.08902771218835
682,-55.69469662550435
683,-58.869177783029784
684,-108.15164879162326
685,-102.62487609092699
686,-78.60166378371488
687,-51.36337424243219
688,-81.95129913901108
689,-81.19679878345966
690,-19.650003012266183
691,-26.54575978017371
692,-82.68071671269924
693,-109.5653534626803
694,-49.65251100678567
695,-65.59601420175792
696,-82.29807778836515
697,-88.87254720898544
698,-47.45978721227648
699,-25.14788046584005
700,-49.2537002992102
701,-100.72570044807124
702,-68.05412541256004
703,-34.216121976561546
704,-49.95809046825751
705,-74.05167799653287
706,-75.04897597362267
707,-49.61660110653461
708,-63.47213170667136
709,-64.38826303467833
710,-59.348467425079
711,-37.453343924524106
712,-27.789208023851103
713,-36.203361334850214
714,-47.119657697243916
715,-17.25621299026676
716,-7.945930741228171
717,-9.19072150865792
718,-24.909198562600974
719,-29.10861534615946
720,-15.12928787569344
721,-30.854015623930266
722,-51.45751710857765
723,-40.77540527148882
724,-6.836056462679281
725,3.3935606463280825
726,-14.235694206652207
727,-17.42210831320825
728,1.2581794287091865
729,-3.700596516610002
730,-1.1677032780828807
731,24.294238484119653
732,22.45313515545655
733,35.78284216641492
734,38.265427586919685
735,16.17888389025079
736,42.02827995068658
737,56.76737072599842
738,28.598765954771423
739,27.65423838850859
740,45.792618441358975
741,79.09447455307773
742,72.7556630265868
743,53.84970615083393
744,56.44023766488702
745,54.52842830074356
746,60.195222339858624
747,80.68234091618993
748,72.44245428755137
749,59.293164137759234
750,52.58030339823366
751,59.760154858337195
752,85.5511241732664
753,86.9061744272872
754,69.90189985761499
755,64.5121441952594
756,49.45832401224529
757,73.41670741038337
758,81.19463523148279
759,85.75030004702201
760,67.50068489108959
761,53.333450395463046
762,63.121540737982684
763,59.798868482749135
764,53.0795531185524
765,74.44741654286759
766,71.4461965356633
767,87.08995917886787
768,91.96049012623038
769,71.64344285366879
770,83.60734379032823
771,88.25741626085363
772,64.22320605296049
773,72.67260484248354
774,96.073382546763
775,73.02851394455534
776,64.13359579439859
777,61.007867454012995
778,55.06595227819238
779,78.56337542310958
780,75.79938411274102
781,25.680121595805936
782,8.368737060288373
783,22.99414948680831
784,27.589399084504343
785,32.691501180656594
786,63.10125969392505
787,61.342885400196835
788,25.69169908008992
789,3.3891865817978086
790,0.8968487493336212
791,15.91357702790251
792,10.450576566209351
793,15.392774927693505
794,23.42742873396139
795,3.136347697966446
796,12.745842232309633
797,36.2818677368255
798,59.43701879007814
799,43.63440423306436
800,29.67440383112607
801,23.43781643689669
802,40.31052199698602
803,52.816515637290095
804,45.28938682452209
805,44.81166260062599
806,9.3814876353374
807,-0.18413608893002475
808,12.912173179021245
809,1.7702963798056235
810,15.310583087854935
811,12.991571023337135
812,26.73437301834477
813,26.838855079204883
814,24.56367266768175
815,19.822010133369226
816,19.275957655730778
817,26.808784536183296
818,-0.593864054535862
819,9.374484537503042
820,50.201303421943216
821,57.587361951800105
822,-8.599852227316411
823,3.3840979068240955
824,37.740435724659775
825,33.17536669867242
826,41.58040843473354
827,28.3715252845883
828,24.689909419340793
829,22.395958029501095
830,23.372486015986496
831,-0.8392919117538042
832,-33.457600386200994
833,-20.185627640990347
834,0.4443303866571071
835,12.526694705274982
836,17.233056274879168
837,20.54434140599094
838,6.471652858947097
839,13.747973935440253
840,6.967333633545957
841,-8.719047500084812
842,-5.592282566907125
843,27.441425108414133
844,48.94356306020461
845,30.661624856722398
846,0.7029865150762147
847,5.717166461346174
848,-2.166599920730935
849,-13.560183638925258
850,-3.519453379757717
851,-14.567354390233765
852,-16.456575560372304
853,-14.993848487843579
854,10.511547616921117
855,33.88108121705474
856,6.464256938034559
857,-13.043621077384504
858,-3.1356334181728993
859,44.39631720860537
860,50.03481477504077
861,26.007085466653972
862,-7.27634415286164
863,-23.905077414663914
864,-8.270823623096774
865,2.111733342509158
866,-32.07081024235715
867,-33.449134537515015
868,-16.63091002795275
869,-31.08416398403231
870,-30.896574232973027
871,-18.929673133971768
872,7.062975445048902
873,-7.513548171495924
874,-2.843711076513573
875,16.838419604007072
876,13.350819164864253
877,-11.330418570457734
878,-56.529600309639605
879,-62.049171588639624
880,-15.380197713501495
881,-21.3553985982834
882,-21.77986589023164
883,-23.501855915537945
884,-15.84550326448139
885,-37.051294385607804
886,-45.84688739998885
887,-50.6238185159207
888,-20.73463233478285
889,-3.5699554002985083
890,-22.622759324476135
891,-23.326289077932184
892,-30.44030761952979
893,-31.089446580395855
894,4.409268067189918
895,-7.8878377974967755
896,-13.395582236346403
897,-19.16743508154928
898,-13.109587592659144
899,-13.255015234458906
900,-8.471798573448021
901,-21.490280854239707
902,-26.198181527391906
903,-33.634652840901786
904,-42.73346500742675
905,-29.703728594646
906,-51.29373488108421
907,-10.75442192551927
908,-10.473463305099246
909,-0.8803036959578296
910,-4.158229196750327
911,-11.289483745374827
912,-7.203731552258877
913,-0.5258951803455467
914,-6.506581422946157
915,-15.918434791482543
916,-19.435158674917627
917,-15.338687230053498
918,-21.49127128272459
919,-16.84840649076496
920,-8.513315546037203
921,9.208107527130938
922,9.409859857196082
923,-0.12662714963738964
924,-8.036605122621882
925,-11.591417889094382
926,-6.699204791912393
927,-0.9971962544707917
928,24.339421791565584
929,21.867339095054085
930,20.536803153546042
931,-2.3193212241823034
932,-4.012552706087826
933,9.19971540962114
934,-9.536950519655282
935,-11.362288655333794
936,20.678053168741066
937,1.947488890533779
938,-0.8979683605137829
939,-5.410323987805083
940,-6.454096788741698
941,-3.528753474260639
942,-8.417329236544198
943,0.9153743646814396
944,-3.236099262405429
945,3.381629865459521
946,-6.420391258838908
947,-10.777816599696681
948,-14.814975576895481
949,-5.088115942581597
950,6.522036727955694
951,12.966541093844395
952,6.850050917987616
953,6.680826744209283
954,13.705447815965137
955,12.055119681097056
956,25.234290166428714
957,25.580345060955132
958,0.13899239635446925
959,-9.724508007934876
960,-19.093960755803543
961,-7.434609595083979
962,-3.3602200399081683
963,-19.870862945540967
964,-30.839050055300152
